age_months,tesla,miles25,miles50,miles75
0,0,392,776,784.5
0,1,319.25,541.5,763.75
1,0,4,6,25
1,1,355,749,2010
2,0,5,6.5,138
2,1,1561,2063,3015
3,0,7,23,372.5
3,1,415,1001,2284
4,0,6,16,759
4,1,605.25,2546,4526.25
5,0,9.5,26.5,851.25
5,1,1878,3505,5899
6,0,10,315.5,2104.5
6,1,1622.25,4006,6672.75
7,0,114,1183,3300
7,1,224.5,1594,5119.75
8,0,326,1650,3653.5
8,1,535,2895,6122
9,0,910,2724,5545
9,1,257.25,939,4368.5
10,0,462.25,2382.5,5554
10,1,266,983,5600
11,0,1000,2886,5948
11,1,1459,4454,8091
12,0,1254.5,3242,6009
12,1,1871,5108,9227
13,0,2150.75,4327,7885.5
13,1,3047.5,5957,10076
14,0,2184,4328,7494
14,1,3211,6662,11325.5
15,0,1811.5,4238.5,7692
15,1,3145,6871,11302
16,0,1883,4547,8777
16,1,4754,8925,14122
17,0,2035.75,4662,8880.25
17,1,5886.5,9855.5,14896.25
18,0,2704,5502,9799.5
18,1,5688,10123,15561
19,0,2648.75,5765.5,10031.25
19,1,5330,9940,15823
20,0,3656,7125,12210
20,1,6921.5,11912,17002
21,0,3996,7833,13240
21,1,7512,11981,17798.5
22,0,4758.5,9161.5,15881.75
22,1,9163.5,14207,19544
23,0,4951,9704,15902
23,1,9875,14930,21095
24,0,5629,10803,17266.5
24,1,9984,14984,22380
25,0,6917,12048,18912
25,1,10833.5,16423,22942
26,0,6778,11702,18423.5
26,1,12066.25,17898,25081
27,0,6914,12183,18667
27,1,11724,17632,25886
28,0,8674.75,13996.5,19908.75
28,1,11836.25,17527,23954.75
29,0,8947,14514.5,20820
29,1,12074,17557,23674
30,0,8721,14124,20947.5
30,1,13370,19435,25581
31,0,9682,16000,22771
31,1,13241,19389,26608
32,0,11105.75,17679,25000
32,1,13612.75,20477,27710
33,0,12157.75,17797,24461.25
33,1,14699,20618,28050
34,0,12592.5,18266,24954.25
34,1,16280,23070,31049
35,0,13307,19172,25634
35,1,15814.5,22265,30946.25
36,0,12963,18684,25001.5
36,1,16444.75,22979.5,31634.25
37,0,13621.5,19545,26394.25
37,1,17563,24926,34753
38,0,14267,20338,27266
38,1,18418,26341,35395
39,0,15052,21059,28636
39,1,19170,27349,36515
40,0,15324,21282,28929.75
40,1,21167.5,29328.5,37933.5
41,0,15627,22111,29764.5
41,1,20084,28702,38865
42,0,16106.75,22937,29942.75
42,1,20802.5,28866.5,39540.25
43,0,16288,23085,29932
43,1,21564,30245,40374
44,0,16729.5,23435,30572
44,1,22907.5,31979,41251.5
45,0,17140.75,24126.5,31019.5
45,1,23346,31854,41693.25
46,0,17185,24335.5,31109
46,1,23645.25,32486.5,41827.5
47,0,17555.5,24826,31337.75
47,1,22984.25,32024,41554
48,0,17529.75,24752.5,31941.5
48,1,23587.25,31879,42369.75
49,0,17945.25,25207.5,32435
49,1,23387,31945.5,42248
50,0,18362.5,25701,33111.5
50,1,23583.5,32458,42975
51,0,19216,26767,34126
51,1,25179.5,33139,43462.5
52,0,19534,26827.5,34426.25
52,1,26157.5,33555,43573.5
53,0,19669.75,27329.5,35000
53,1,26149,35610.5,46754.75
54,0,20560.5,27875,35466.5
54,1,26376,35480,46360
55,0,20101,27732,35616.5
55,1,26782,37844,51650
56,0,21509,29310,36613
56,1,28497.25,39312,49783.25
57,0,21333,28483,37133.5
57,1,30895.25,41287.5,52709
58,0,22480.5,30143.5,38520
58,1,29750.5,40323.5,53654.5
59,0,23429.75,31737.5,40413.5
59,1,29363.25,41892,54072.5
60,0,24329,31757,41742
60,1,31643,43456,56013
61,0,24046,32642,42682.25
61,1,29670,41119,52568
62,0,24980.75,33310,42916.75
62,1,30281,41317,54335
63,0,25000,33429,41909.5
63,1,33581,44837,57631
64,0,25688.25,34544.5,44532.75
64,1,33282,44932.5,59701.5
65,0,25814,34649,44218
65,1,33653,44686,59897
66,0,26523.5,34511,45009
66,1,37175,49900,61989
67,0,28401,37726,46585
67,1,34928.25,45782,58432.75
68,0,28680.25,36930,47058
68,1,36117,48302,61939
69,0,29609,38211,46567
69,1,40481.5,52369,65493.25
70,0,28225.75,37019,46998.75
70,1,37692,50245,65593.5
71,0,29213,38621,48207.5
71,1,38473.75,49800,65542.25
72,0,30457,39708,48170
72,1,39093,50919,65270.5
73,0,30902.25,39991,50411
73,1,39218.5,52058,69758.5
74,0,29821,39130,49370.75
74,1,38576,52294,65656
75,0,32528,41322,52000
75,1,39147.5,51348.5,66125.75
76,0,31781.5,41386.5,51414.75
76,1,38951.25,52123.5,66734.5
77,0,32636,41470,52677
77,1,38526,54942.5,70769.5
78,0,32363,41936,53415.25
78,1,41153,54969,70584.5
79,0,31768.25,42127.5,52392
79,1,42106,54889,70762
80,0,31418.5,42022,51843
80,1,45164,60087,73637.5
81,0,32776.75,43680.5,55059.5
81,1,40356,54838,70879
82,0,34119.25,43328.5,54045.25
82,1,43669,58753,76115
83,0,33706.5,42913.5,54739.75
83,1,44649.5,56786,73866.5
84,0,34101,43686,53539
84,1,46714.75,59046,75932
85,0,35429.75,45803,57644
85,1,44576,57705,74139
86,0,36339,45872,58441.5
86,1,46068.5,58633.5,73445.25
87,0,35289.25,45512,56021.75
87,1,46195.5,60169,73807.5
88,0,35034.25,46076.5,57656.25
88,1,47040,59379,75960
89,0,35996.75,47880.5,58616.25
89,1,46071,61144,75831
90,0,36923.5,45860.5,55988
90,1,46913,62317,77397
91,0,36748.5,48100,61792.5
91,1,46538,62090,79230.5
92,0,36394.5,47563,59034.5
92,1,48984,66585,80750.5
93,0,36878.5,48505.5,59287
93,1,45692.75,62470,82982.25
94,0,38733.5,47536.5,60812.75
94,1,51027,67178.5,84972.5
95,0,40873,51655,61633
95,1,53672,67561.5,85592
96,0,39054,48580,58350
96,1,50051.5,70086.5,84649.75
97,0,38742,47094.5,59114
97,1,50216,65936,87720
98,0,40478.5,50958,61422
98,1,51985,69612,90497.5
99,0,36124.75,49190.5,62728.5
99,1,48387,62209,80658.5
100,0,40116.5,49333.5,61516
100,1,51288.5,68577,87272.5
101,0,41072,50020,60457
101,1,55928.5,69970,85824.5
102,0,38000,51059,61332
102,1,48451,63313,82146
103,0,39216.5,48984,58807.5
103,1,58434.5,69726,99569
104,0,41449,53548,68000
104,1,53695,74021,98323
105,0,40500.5,51485,60877.5
105,1,59353,76283,96573.5
106,0,44180.25,54604.5,65771.5
106,1,55036,76150,92935
107,0,41207,50136,62505
107,1,61419,74987,88919
108,0,42387,50892,61190.75
108,1,59255,76229.5,93187.25
